candidate_id,title,authors,year,venue,doi,arxiv_id,source_url,source_databases,abstract_or_snippet,evidence_availability,title_abstract_decision,full_text_status,full_text_decision,exclusion_reason,decision_rationale,screening_reviewer,screening_date
POOL-0208,"Quo Vadis, Code Review? Exploring the Future of Code Review",Michael Dorner; Andreas Bauer; Darja Šmite; Lukas Thode; Daniel Méndez; Ricardo Britto; Stephan Lukasczyk; Ehsan Zabardast; M. Kormann,2025,arXiv.org,10.1145/3816483.3816556,2508.06879,https://www.semanticscholar.org/paper/1e186a1596b6a098336921ef93bb84fbd853e22d,semantic_scholar,"Context: Code review has long been a core practice in collaborative software engineering. As automation becomes increasingly embedded in development workflows, the role and functioning of code review are subject to change. Objective: This study explores how professional developers anticipate the evolution of code review and identifies emerging tensions reflected in these expectations. Method: We conducted a cross-sectional survey with 100 developers across five software-driven companies. The survey captured estimates of current review time and reviewed artifacts, as well as anticipated changes over a five-year horizon. Open-ended questions invited reflections on the future of code review. Quantitative responses were analyzed descriptively, and open-ended responses were independently coded by multiple researchers using thematic analysis to identify recurring patterns in participant responses. Results: Practitioners expect code review to remain essential, anticipating stable or increased time investment and a broader range of reviewed artifacts over the next five years. In open-ended responses, many participants explicitly referenced AI and large language models (LLMs), describing increasing automation in both code authoring and reviewing, including scenarios in which automated systems operate in both roles. Conclusion: Our analysis suggests emerging tensions concerning understanding, accountability, and trust in automation-mediated code review. These tensions provide early empirical signals of socio-technical challenges and position code review as a concrete setting for examining the implications of LLM integration in collaborative software engineering.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0209,Psycholinguistic Analyses in Software Engineering Text: A Systematic Literature Review,Amirali Sajadi; Kostadin Damevski; Preetha Chatterjee,2025,arXiv.org,10.48550/arxiv.2503.05992,2503.05992,https://www.semanticscholar.org/paper/a80e864927d97c34f6eeabbcfc10fe73fa0f6e02,semantic_scholar,"Context: A deeper understanding of human factors in software engineering (SE) is essential for improving team collaboration, decision-making, and productivity. Communication channels like code reviews and chats provide insights into developers' psychological and emotional states. While large language models excel at text analysis, they often lack transparency and precision. Psycholinguistic tools like Linguistic Inquiry and Word Count (LIWC) offer clearer, interpretable insights into cognitive and emotional processes exhibited in text. Despite its wide use in SE research, no comprehensive review of LIWC's use has been conducted. Objective: We examine the importance of psycholinguistic tools, particularly LIWC, and provide a thorough analysis of its current and potential future applications in SE research. Methods: We conducted a systematic review of six prominent databases, identifying 43 SE-related papers using LIWC. Our analysis focuses on five research questions. Results: Our findings reveal a wide range of applications, including analyzing team communication to detect developer emotions and personality, developing ML models to predict deleted Stack Overflow posts, and more recently comparing AI-generated and human-written text. LIWC has been primarily used with data from project management platforms (e.g., GitHub) and Q&A forums (e.g., Stack Overflow). Key BSE concepts include Communication, Organizational Climate, and Positive Psychology. 26 of 43 papers did not formally evaluate LIWC. Concerns were raised about some limitations, including difficulty handling SE-specific vocabulary. Conclusion: We highlight the potential of psycholinguistic tools and their limitations, and present new use cases for advancing the research of human factors in SE (e.g., bias in human-LLM conversations).",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0210,Prompting in Practice: Investigating Software Practitioners'Use of Generative AI Tools,Daniel Otten; Trevor Stalnaker; Nathan Wintersgill; Oscar Chaparro; Denys Poshyvanyk,2025,,,2510.06000,https://www.semanticscholar.org/paper/30f42e94eade69588265f712705e19c39710e5bf,semantic_scholar,"The use of generative AI (GenAI) tools has fundamentally transformed software development. Central to this shift is prompt engineering, the practice of crafting textual prompts to guide GenAI tools in generating useful content. Although prompt engineering has emerged as a critical skill, prior research has focused primarily on cataloging of prompting techniques, with limited attention to how software practitioners employ GenAI within real-world development workflows. To address this gap, this study presents a systematic investigation of practitioners'integration of GenAI tools into software development, drawing on a rigorous survey that examines prompting strategies, conversation patterns, and reliability assessments across core software development tasks. We surveyed 72 software practitioners who actively use GenAI to characterize AI usage patterns throughout the development process. By combining qualitative and quantitative analyses of the survey responses, we identified 13 key findings that describe how prompting is performed in practice. Our study shows that while code generation is nearly universal, proficiency strongly correlates with the use of GenAI for more nuanced tasks such as debugging and code review. Practitioners also tend to favor iterative multi-turn conversations to single-shot prompting. Documentation tasks are perceived as most reliable, while complex code generation and debugging remain major challenges. Our findings provide an empirical view of practitioner practices, ranging from basic code generation to deeper integration of GenAI into development workflows, enabling us to offer recommendations for improving both GenAI tools and the ways practitioners interact with them.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0211,Prompting in Practice: Investigating Software Developers' Use of Generative AI Tools,Daniel Otten; Trevor Stalnaker; Nathan Wintersgill; Oscar Chaparro; Denys Poshyvanyk,2025,arXiv.org,10.48550/arxiv.2510.06000,,https://www.semanticscholar.org/paper/a6543a83aa068aaaf3071888baee30a3faff7ac7,semantic_scholar,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0212,Premature Trust: How Student Overreliance on GenAI is Seeding Tomorrow’s Security Gaps,Sumeet Jeswani; Akshay Mittal; Soni Sewlani,2025,SIGCITE,10.1145/3769694.3771124,,https://www.semanticscholar.org/paper/59c2410090b7ddf010469d950952d48865073b51,semantic_scholar,"The rapid proliferation of generative AI tools into educational software development has created new pedagogical challenges. While these tools offer productivity benefits and learning support, they may introduce security risks when students adopt AI-generated code without adequate verification or understanding of security implications. Through analysis of case studies and emerging educational patterns, we identify a concerning trend of ""premature trust"" in AI-assisted coding environments, where students accept AI outputs without sufficient critical evaluation. This phenomenon potentially threatens long-term software security as these students enter the professional workforce. This paper proposes FoSAC-Ed (Foundations of Secure AI Coding for Education), a pedagogical framework designed to cultivate security-aware AI coding practices in computer science education. The framework encompasses five core pillars: Early threat modeling, Secure prompt engineering, Code provenance awareness, Human-AI code review loops, and Embedded security feedback. We present the theoretical foundation, implementation guidance, and preliminary exploratory findings from a simulated pilot study. Important Note: The pilot study has significant methodological limitations and should be interpreted as initial exploration rather than conclusive validation. We outline comprehensive plans for rigorous empirical testing to establish the framework’s effectiveness. This work aims to initiate discussion and collaboration toward developing evidence-based approaches for secure AI-assisted coding education.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0214,On the Performance of Large Language Models for Code Change Intent Classification,Issam Oukhay; Moataz Chouchen; Ali Ouni; Fatemeh H. Fard,2025,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",10.1109/saner64311.2025.00062,,https://www.semanticscholar.org/paper/294e849070f626d002bbcc213edea83533652a4e,semantic_scholar,"Modern Code Review (MCR) is an essential practice in software engineering, supporting early defect detection, enhancing code quality, and fostering knowledge. To manage code review tasks effectively, developers need to understand the intent behind code changes, such as a bug fix, test, refactoring, or new feature. Traditional methods for categorizing code changes in MCR rely on rule-based heuristics with predefined keywords. However, these methods lack context regarding the code changes, leading to limited generalizability, particularly when dealing with sparsely documented changes. This paper addresses these limitations by investigating the potential of Large Language Models (LLMs) for changes' intent classification. We introduce LLM Change Classifier (LLMCC), an LLM-based approach that classifies code changes based on their underlying intent. We evaluate the effectiveness of LLMCC by conducting an empirical study on three open-source projects: Android, OpenS tack, and Qt. The performance of LLMCC was benchmarked against traditional heuristic methods, conventional machine learning algorithms (including Decision Trees and Random Forests), and state-of-the-art transformer models (including BERT and RoBERTa). Results show that LLMCC significantly enhances code change intent classification accuracy, achieving up to a 33 % improvement in F1 score over heuristic-based methods. Additionally, LLMCC outperformed both traditional machine learning and transformer models, achieving an average 77% improvement in terms of Matthew Correlation Coefficient (MCC). These findings underscore the potential of LLMCC to streamline code change intent classification.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0215,On Assessing the Relevance of Code Reviews Authored by Generative Models,R. Heumüller; F. Ortmeier,2025,arXiv.org,10.48550/arxiv.2512.15466,2512.15466,https://www.semanticscholar.org/paper/a0a43afda7ba554e611852a395034f05acfc06f4,semantic_scholar,"The use of large language models like ChatGPT in code review offers promising efficiency gains but also raises concerns about correctness and safety. Existing evaluation methods for code review generation either rely on automatic comparisons to a single ground truth, which fails to capture the variability of human perspectives, or on subjective assessments of""usefulness"", a highly ambiguous concept. We propose a novel evaluation approach based on what we call multi-subjective ranking. Using a dataset of 280 self-contained code review requests and corresponding comments from CodeReview StackExchange, multiple human judges ranked the quality of ChatGPT-generated comments alongside the top human responses from the platform. Results show that ChatGPT's comments were ranked significantly better than human ones, even surpassing StackExchange's accepted answers. Going further, our proposed method motivates and enables more meaningful assessments of generative AI's performance in code review, while also raising awareness of potential risks of unchecked integration into review processes.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0216,Nurturing Code Quality: Leveraging Static Analysis and Large Language Models for Software Quality in Education,E. Alomar,2025,ACM Transactions on Computing Education,10.1145/3722229,,https://www.semanticscholar.org/paper/7cecc9215ba849f3e744b85e4b2e0d43479ce1b5,semantic_scholar,"Large Language Models (LLMs), such as ChatGPT, have become widely popular for various software engineering tasks, including programming, testing, code review, and program comprehension. However, their impact on improving software quality in educational settings remains uncertain. This article explores our experience teaching the use of Programming Mistake Detector (PMD) to foster a culture of bug fixing and leverage LLM to improve software quality in the classroom. This article discusses the results of an experiment involving 155 submissions that carried out a code review activity of 1,658 rules. Our quantitative and qualitative analyses reveal that a set of PMD quality issues influences the acceptance or rejection of the issues, and design-related categories that take longer to resolve. Although students acknowledge the potential of using ChatGPT during code review, some skepticism persists. Further, constructing prompts for ChatGPT that possess clarity, complexity, and context nurtures vital learning outcomes, such as enhanced critical thinking, and among the 1,658 issues analyzed, 93% of students indicated that ChatGPT did not identify any additional issues beyond those detected by PMD. Conversations between students and ChatGPT encompass five categories, including ChatGPT’s use of affirmation phrases like “certainly” regarding bug fixing decisions, and apology phrases such as “apologize” when resolving challenges. Through this experiment, we demonstrate that code review can become an integral part of the educational computing curriculum. We envision our findings to enable educators to support students with effective code review strategies, increasing awareness of LLMs, and promoting software quality in education.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0217,Non-Traditional Methods for Teaching Python Programming with Large Language Models,G. Bubaš; Mario Konecki,2025,2025 MIPRO 48th ICT and Electronics Convention,10.1109/mipro65660.2025.11132057,,https://www.semanticscholar.org/paper/92546743ba266dc70e34fc8fdcacd922594a246f,semantic_scholar,"Large Language Models (LLMs), like those of the ChatGPT, Gemini, and Claude families, are increasingly being researched for their potential utilization in programming education. Traditional methods for developing programming skills in computer science (CS) and software engineering (SE) university courses may include lectures, exercises in computer laboratory, assignments and/or projects, data structures and algorithms teaching, software reuse, code reviews, and debugging sessions. The interactive use of LLMs to supplement traditional methods for novice learners can employ nontraditional instructional strategies frequently used in social science courses. In this paper, alternative methods for teaching Python programming with LLMs are presented, including positive and negative examples, storytelling, role-playing scenarios, quizzes, LLM mentorship, Socratic dialogue, rolereversal (“teach the LLM”), “write a manual” assignments, etc. Some CS or SE students lack the opportunity to work in pairs or study groups/teams when learning programming and LLMs can compensate for such instances.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0218,"Multi-Agent LLM Collaboration for Adaptive Code Review, Debugging, and Security Analysis",Tanush Sharanarthi; Sreenidhi Polineni,2025,"2025 International Conference on Mechatronics, Robotics, and Artificial Intelligence (MRAI)",10.1109/mrai65197.2025.11135756,,https://www.semanticscholar.org/paper/58c870c17991dc4a3d011ea286826a3cc49d9215,semantic_scholar,"Automated code review systems have improved software development, yet many lack contextual awareness, leading to redundant feedback and limited adaptability to user-specific coding styles. This paper presents a multi-agent AI-driven framework that leverages FAISS-based memory to improve review efficiency, personalization, and collaboration. The system integrates code review, bug detection, and security analysis agents, operating independently and interactively to analyze and refine code submissions. A feedback mechanism enables users to influence future AI suggestions, ensuring that recommendations evolve based on individual preferences and past interactions. Through structured experiments, we evaluated the impact of FAISS memory on the reduction of redundant feedback, evaluated the effectiveness of collaborative agent execution, and measured the system’s ability to adapt to coding patterns over time. The results indicate that the incorporation of FAISS significantly improves AI-assisted development by minimizing unnecessary repetitions while maintaining essential corrective feedback. This research demonstrates the potential of adaptive AI systems in software engineering, contributing to more intelligent, context-aware, and efficient code review methodologies.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
