candidate_id,title_abstract_decision,decision_rationale,screening_reviewer,screening_date
POOL-0158,exclude_title_abstract,"General DevSecOps/cloud architecture without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0159,include_full_text_candidate,"Directly benchmarks automatic code review with repository-level context.",Codex-assisted preliminary screen,2026-08-06
POOL-0160,uncertain,"Peer code review in introductory programming may be supporting evidence; full text needed.",Codex-assisted preliminary screen,2026-08-06
POOL-0161,exclude_title_abstract,"Software-pattern innovation metric without code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0162,include_full_text_candidate,"Directly surveys code-review benchmarks and evaluation practices.",Codex-assisted preliminary screen,2026-08-06
POOL-0163,include_full_text_candidate,"Directly studies pull-request code clones created by AI agents.",Codex-assisted preliminary screen,2026-08-06
POOL-0164,include_full_text_candidate,"Directly presents GPT-based automatic code review and comment generation.",Codex-assisted preliminary screen,2026-08-06
POOL-0165,include_full_text_candidate,"Directly studies LLM-based peer code-review feedback control.",Codex-assisted preliminary screen,2026-08-06
POOL-0166,include_full_text_candidate,"Directly concerns explaining risk of code changes using LLM prediction models.",Codex-assisted preliminary screen,2026-08-06
POOL-0167,include_full_text_candidate,"Directly compares human and machine review using LLMs.",Codex-assisted preliminary screen,2026-08-06
POOL-0168,uncertain,"Security-application assessment may include secure code review; full text needed.",Codex-assisted preliminary screen,2026-08-06
POOL-0169,include_full_text_candidate,"Directly analyzes practitioner opinions on code review in an AI world.",Codex-assisted preliminary screen,2026-08-06
POOL-0170,exclude_title_abstract,"General machine learning for software improvement without code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0171,include_full_text_candidate,"Directly studies secure code review with LLMs.",Codex-assisted preliminary screen,2026-08-06
POOL-0172,include_full_text_candidate,"Directly studies retrieval-augmented code-review generation.",Codex-assisted preliminary screen,2026-08-06
POOL-0173,include_full_text_candidate,"Directly studies which code-review comments developers resolve.",Codex-assisted preliminary screen,2026-08-06
POOL-0174,uncertain,"Student code and design-principle enforcement may support review evidence; full text needed.",Codex-assisted preliminary screen,2026-08-06
POOL-0175,uncertain,"AI/voice-based code review probe is directly suggestive but requires full-text eligibility verification.",Codex-assisted preliminary screen,2026-08-06
POOL-0176,include_full_text_candidate,"Directly includes source-code review and vulnerability analysis.",Codex-assisted preliminary screen,2026-08-06
POOL-0177,include_full_text_candidate,"Directly studies LLM verification of code against specifications.",Codex-assisted preliminary screen,2026-08-06
POOL-0178,exclude_title_abstract,"LLM tutoring for CUDA optimization without review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0179,include_full_text_candidate,"Directly studies adversarial manipulation of LLM static analysis.",Codex-assisted preliminary screen,2026-08-06
POOL-0180,exclude_title_abstract,"Broad modern software-engineering review without a clear code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0181,exclude_title_abstract,"Code proficiency assessment without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0182,include_full_text_candidate,"Directly studies defect-focused automated code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0183,include_full_text_candidate,"Directly studies data quality for code-review comment generation.",Codex-assisted preliminary screen,2026-08-06
POOL-0184,uncertain,"Expert opinions on LLM software development may include review evidence; full text needed.",Codex-assisted preliminary screen,2026-08-06
POOL-0185,include_full_text_candidate,"Directly examines LLM impact on the code-review process.",Codex-assisted preliminary screen,2026-08-06
POOL-0186,exclude_title_abstract,"Developer productivity with GenAI without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0187,exclude_title_abstract,"Teaching code refactoring with LLMs without review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0188,exclude_title_abstract,"General software trustworthiness assessment without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0189,exclude_title_abstract,"Broad software-engineering practices review without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0190,uncertain,"Multi-agent software development may include review but the scope is unclear.",Codex-assisted preliminary screen,2026-08-06
POOL-0191,include_full_text_candidate,"Directly concerns context-aware comment generation for code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0192,exclude_title_abstract,"General natural-language understanding for LLMs without code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0193,include_full_text_candidate,"Directly studies secure code review with LLM fine-tuning.",Codex-assisted preliminary screen,2026-08-06
POOL-0194,include_full_text_candidate,"Directly benchmarks real-world code-review comment generation.",Codex-assisted preliminary screen,2026-08-06
