candidate_id,title,authors,year,venue,doi,arxiv_id,source_url,source_databases,abstract_or_snippet,evidence_availability,title_abstract_decision,full_text_status,full_text_decision,exclusion_reason,decision_rationale,screening_reviewer,screening_date
POOL-0537,IUI '26: Proceedings of the 31st International Conference on Intelligent User Interfaces,Tsvi Kuflik; Styliani Kleanthous; Li Chen; Giulio Jaccuci; Alison Renner,2026,,10.1145/3742413,,https://dl.acm.org/doi/proceedings/10.1145/3742413,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0538,ICSeB '25: Proceedings of the 2025 9th International Conference on Software and e-Business,,2025,,10.1145/3789037,,https://dl.acm.org/doi/proceedings/10.1145/3789037,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0540,ICIT '25: Proceedings of the 13th International Conference on Information Technology: IoT and Smart City,,2026,,10.1145/3787330,,https://dl.acm.org/doi/proceedings/10.1145/3787330,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0541,ACE '26: Proceedings of the 28th Australasian Computing Education Conference,Simon,2026,,10.1145/3786228,,https://dl.acm.org/doi/proceedings/10.1145/3786228,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0552,HCAIep '26: Proceedings of the 2026 Conference on Human Centred Artificial Intelligence - Education and Practice,,2026,,10.1145/3777490,,https://dl.acm.org/doi/proceedings/10.1145/3777490,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0562,DECS '25: Proceedings of the 2025 2nd International Conference on Digital Economy and Computer Science,,2025,,10.1145/3785706,,https://dl.acm.org/doi/proceedings/10.1145/3785706,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0563,FIRE '25: Proceedings of the 17th annual meeting of the Forum for Information Retrieval Evaluation,Surupendu Gangopadhyay; Debasis Ganguly; Debarshi Kumar Sanyal,2026,,10.1145/3777867,,https://dl.acm.org/doi/proceedings/10.1145/3777867,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0567,HAI '25: Proceedings of the 13th International Conference on Human-Agent Interaction,Hirotaka Osawa; Helena Lindgren; Aaron Steinfeld; Mary Ellen Foster; Shogo Okada; Haiyi Zhu,2026,,10.1145/3765766,,https://dl.acm.org/doi/proceedings/10.1145/3765766,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0569,SIGCITE '25: Proceedings of the 26th ACM Annual Conference on Cybersecurity & Information Technology Education,Markus Geissler; Barry Lunt,2025,,10.1145/3769694,,https://dl.acm.org/doi/proceedings/10.1145/3769694,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0573,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,Muhammad Ali Babar; Ayşe Tosun; Stefan Wagner; Viktoria Stray,2025,,10.1145/3756681,,https://dl.acm.org/doi/proceedings/10.1145/3756681,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0576,EASE Companion '25: Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion,Muhammad Ali Babar; Ayşe Tosun; Stefan Wagner; Viktoria Stray,2025,,10.1145/3727967,,https://dl.acm.org/doi/proceedings/10.1145/3727967,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0577,ICPP Workshops '25: Workshop Proceedings of the 54th International Conference on Parallel Processing,,2025,,10.1145/3750720,,https://dl.acm.org/doi/proceedings/10.1145/3750720,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0578,CISAI '25: Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence,,2025,,10.1145/3773365,,https://dl.acm.org/doi/proceedings/10.1145/3773365,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0579,ISAIE '25: Proceedings of the 2025 2nd International Symposium on Artificial Intelligence for Education,,2025,,10.1145/3775073,,https://dl.acm.org/doi/proceedings/10.1145/3775073,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0581,GoodIT '25: Proceedings of the 2025 International Conference on Information Technology for Social Good,,2025,,10.1145/3748699,,https://dl.acm.org/doi/proceedings/10.1145/3748699,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0583,AIEE '25: Proceedings of the 2025 International Conference on AI-enabled Education,,2025,,10.1145/3768421,,https://dl.acm.org/doi/proceedings/10.1145/3768421,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0584,"IPICE '25: Proceedings of the 2025 2nd International Conference on Image Processing, Intelligent Control and Computer Engineering",,2025,,10.1145/3768184,,https://dl.acm.org/doi/proceedings/10.1145/3768184,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0585,ETAIC '25: Proceedings of the 2025 International Conference on Educational Technology and Artificial Intelligence,,2025,,10.1145/3766557,,https://dl.acm.org/doi/proceedings/10.1145/3766557,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0588,"SC Workshops '25: Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",,2025,,10.1145/3731599,,https://dl.acm.org/doi/proceedings/10.1145/3731599,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0589,Koli Calling '25: Proceedings of the 25th Koli Calling International Conference on Computing Education Research,Juho Leinonen; Rodrigo Duran,2025,,10.1145/3769994,,https://dl.acm.org/doi/proceedings/10.1145/3769994,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0591,EKI '25: Proceedings of the 2025 3rd International Conference on Educational Knowledge and Informatization,,2025,,10.1145/3765325,,https://dl.acm.org/doi/proceedings/10.1145/3765325,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0593,Internetware '25: Proceedings of the 16th International Conference on Internetware,Hong Mei; Jian Lv; Zhi Jin; Xuandong Li; Thomas Zimmermann; Ge Li; Lei Bu; Xin Xia,2025,,10.1145/3755881,,https://dl.acm.org/doi/proceedings/10.1145/3755881,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0595,ASSETS '25: Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,Shaun Kane; Kristen Shinohara; Cynthia Bennett; Martez Mott,2025,,10.1145/3663547,,https://dl.acm.org/doi/proceedings/10.1145/3663547,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0596,ACM REP '25: Proceedings of the 3rd ACM Conference on Reproducibility and Replicability,,2025,,10.1145/3736731,,https://dl.acm.org/doi/proceedings/10.1145/3736731,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0606,UIST '25: Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,Andrea Bianchi; Elena Glassman; Wendy E. Mackay; Shengdong Zhao; Jeeeun Kim; Ian Oakley,2025,,10.1145/3746059,,https://dl.acm.org/doi/proceedings/10.1145/3746059,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0607,ICSCA '25: Proceedings of the 2025 14th International Conference on Software and Computer Applications,,2025,,10.1145/3731806,,https://dl.acm.org/doi/proceedings/10.1145/3731806,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0617,EDCS '25: Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area Education Digitalization and Computer Science International Conference,,2025,,10.1145/3746469,,https://dl.acm.org/doi/proceedings/10.1145/3746469,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0618,ASIA CCS '25: Proceedings of the 20th ACM Asia Conference on Computer and Communications Security,,2025,,10.1145/3708821,,https://dl.acm.org/doi/proceedings/10.1145/3708821,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0623,DEAI '25: Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial Intelligence,,2025,,10.1145/3745238,,https://dl.acm.org/doi/proceedings/10.1145/3745238,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0625,Refactoring Detection in C++ Programs with RefactoringMiner++,Benjamin Ritz; Aleksandar Karakaš; Denis Helic,2025,FSE Companion '25: Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,10.1145/3696630.3728602,,https://dl.acm.org/doi/10.1145/3696630.3728602,acm,"Commits often involve refactorings—behavior-preserving code modifications aiming at software design improvements. Refactoring operations pose a challenge to code reviewers, as distinguishing them from behavior-altering changes is often not a trivial ...",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0630,DataEd '25: Proceedings of the 4th International Workshop on Data Systems Education: Bridging Education Practice with Education Research,Michael Liut; Sourav Bhowmick; Abdussalam Alawini,2025,,10.1145/3735091,,https://dl.acm.org/doi/proceedings/10.1145/3735091,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0632,FIRE '24: Proceedings of the 16th Annual Meeting of the Forum for Information Retrieval Evaluation,Debasis Ganguly; Debarshi Kumar Sanyal; Prasenjit Majumder; Srijoni Majumdar; Surupendu Gangopadhyay,2025,,10.1145/3734947,,https://dl.acm.org/doi/proceedings/10.1145/3734947,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0633,PEARC '25: Practice and Experience in Advanced Research Computing 2025: The Power of Collaboration,Dana Brunson; Daphne McCanse; Ruth Marinshaw; Shafaq Chaudhry,2025,,10.1145/3708035,,https://dl.acm.org/doi/proceedings/10.1145/3708035,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0634,AICI '25: Proceedings of the 2025 International Conference on Artificial Intelligence and Computational Intelligence,,2025,,10.1145/3730436,,https://dl.acm.org/doi/proceedings/10.1145/3730436,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0637,CUI '25: Proceedings of the 7th ACM Conference on Conversational User Interfaces,Jaisie Sin; Edith Law; Jim Wallace; Cosmin Munteanu; Danai Korre,2025,,10.1145/3719160,,https://dl.acm.org/doi/proceedings/10.1145/3719160,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0638,DIS '25: Proceedings of the 2025 ACM Designing Interactive Systems Conference,Nuno Jardim Nunes; Valentina Nisi; Ian Oakley; Qian Yang; Clement Zheng,2025,,10.1145/3715336,,https://dl.acm.org/doi/proceedings/10.1145/3715336,acm,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
