candidate_id,title_abstract_decision,decision_rationale,screening_reviewer,screening_date
POOL-0001,uncertain,"Adjacent generative-AI/web-development study; review-feedback connection requires full-text verification.",Codex-assisted preliminary screen,2026-08-06
POOL-0002,include_full_text_candidate,"Abstract reports automated code review artifacts and review outcomes.",Codex-assisted preliminary screen,2026-08-06
POOL-0003,uncertain,"AI-assisted software development and code review are mentioned, but the review contribution is unclear.",Codex-assisted preliminary screen,2026-08-06
POOL-0004,exclude_title_abstract,"Literary review generation; no software code-review connection.",Codex-assisted preliminary screen,2026-08-06
POOL-0005,include_full_text_candidate,"Directly studies modular decision-making for LLM code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0006,include_full_text_candidate,"Directly concerns recursive evaluation or review of LLM-generated code.",Codex-assisted preliminary screen,2026-08-06
POOL-0007,uncertain,"Studies buggy generated code and user response; code-review relevance requires full-text verification.",Codex-assisted preliminary screen,2026-08-06
POOL-0008,exclude_title_abstract,"Vulnerability detection representation learning; no code-review feedback focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0009,include_full_text_candidate,"Directly studies automated evaluation of code-review bots.",Codex-assisted preliminary screen,2026-08-06
POOL-0010,uncertain,"Vibe-coded application security may be adjacent; review-feedback relation requires full text.",Codex-assisted preliminary screen,2026-08-06
POOL-0011,include_full_text_candidate,"Directly analyzes reviewing agentic AI-authored code.",Codex-assisted preliminary screen,2026-08-06
POOL-0012,include_full_text_candidate,"Directly proposes a framework for trustworthy AI-assisted code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0013,include_full_text_candidate,"Directly studies workflows for reviewing LLM-generated changes.",Codex-assisted preliminary screen,2026-08-06
POOL-0014,include_full_text_candidate,"Directly concerns toxicity filtering in developer communication and code-review context.",Codex-assisted preliminary screen,2026-08-06
POOL-0015,uncertain,"Agentic software-engineering cost analysis may contain review evidence but is not clearly review-focused.",Codex-assisted preliminary screen,2026-08-06
POOL-0016,uncertain,"Governance of GenAI contributions may provide supporting workflow evidence; review relevance unclear.",Codex-assisted preliminary screen,2026-08-06
POOL-0017,exclude_title_abstract,"Code-generation safety/utility trade-off without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0018,include_full_text_candidate,"Directly proposes specification-based quality gating for AI-assisted code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0019,uncertain,"Broad software-development lifecycle review; code-review evidence requires full-text verification.",Codex-assisted preliminary screen,2026-08-06
POOL-0020,exclude_title_abstract,"Governance and productivity/reliability framing without a clear code-review study.",Codex-assisted preliminary screen,2026-08-06
POOL-0021,include_full_text_candidate,"Directly addresses whether coding agents replace human code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0022,exclude_title_abstract,"Code smell and vulnerability resolution; no code-review feedback focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0023,exclude_title_abstract,"General collaborative coding culture; no LLM code-review evidence indicated.",Codex-assisted preliminary screen,2026-08-06
POOL-0024,include_full_text_candidate,"Directly compares quality improvements recommended by manual and automated code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0025,include_full_text_candidate,"Directly benchmarks LLM-driven pull-request review.",Codex-assisted preliminary screen,2026-08-06
POOL-0026,exclude_title_abstract,"Self-improving coding agents without a clear code-review evaluation focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0027,exclude_title_abstract,"LLM platform security controls; no code-review feedback connection.",Codex-assisted preliminary screen,2026-08-06
POOL-0028,exclude_title_abstract,"Scaling coding agents; no code-review focus indicated.",Codex-assisted preliminary screen,2026-08-06
POOL-0029,include_full_text_candidate,"Directly studies human review of LLM-labelled code and review effort.",Codex-assisted preliminary screen,2026-08-06
POOL-0030,include_full_text_candidate,"Directly benchmarks AI code-review quality against pull-request feedback.",Codex-assisted preliminary screen,2026-08-06
POOL-0031,uncertain,"End-to-end code-agent benchmark may include review but its review evidence is unclear.",Codex-assisted preliminary screen,2026-08-06
POOL-0032,exclude_title_abstract,"Secure transpilation and execution of generated programs; no review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0033,include_full_text_candidate,"Directly studies social engineering of vulnerabilities in review agents.",Codex-assisted preliminary screen,2026-08-06
POOL-0034,exclude_title_abstract,"Agentic coding task decomposition without a clear code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0035,include_full_text_candidate,"Large-scale online evaluation of LLM-based code-review automation.",Codex-assisted preliminary screen,2026-08-06
POOL-0036,exclude_title_abstract,"Change-aware exploratory testing; no code-review feedback focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0038,include_full_text_candidate,"Directly studies training data for generating code-review comments.",Codex-assisted preliminary screen,2026-08-06
POOL-0039,include_full_text_candidate,"Directly discusses agentic code review and its workflow implications.",Codex-assisted preliminary screen,2026-08-06
POOL-0040,exclude_title_abstract,"Autonomous code modernization without a review-feedback focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0041,uncertain,"Static bug detection and false positives may support review evaluation; full text needed.",Codex-assisted preliminary screen,2026-08-06
POOL-0042,uncertain,"Code-change rationale recovery may support review context but review connection is unclear.",Codex-assisted preliminary screen,2026-08-06
POOL-0043,exclude_title_abstract,"Scientific-claim evaluation, not software code review.",Codex-assisted preliminary screen,2026-08-06
POOL-0044,exclude_title_abstract,"Secure coding guidance for enterprise LLM development; no review-feedback focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0045,exclude_title_abstract,"Autonomous vulnerability discovery without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0046,include_full_text_candidate,"Directly studies false-positive reduction in LLM-assisted security review.",Codex-assisted preliminary screen,2026-08-06
POOL-0047,exclude_title_abstract,"Security and prompt-engineering survey without a code-review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0048,exclude_title_abstract,"Code summarization review; no code-review feedback connection indicated.",Codex-assisted preliminary screen,2026-08-06
POOL-0049,exclude_title_abstract,"End-to-end coding-agent benchmark without a clear review focus.",Codex-assisted preliminary screen,2026-08-06
POOL-0050,uncertain,"Evaluator/judge behavior for LLM-generated assertions may transfer to review evaluation; full text needed.",Codex-assisted preliminary screen,2026-08-06
POOL-0051,exclude_title_abstract,"General software-engineering prompt engineering; no code-review focus indicated.",Codex-assisted preliminary screen,2026-08-06
