candidate_id,title_abstract_decision,decision_rationale,screening_reviewer,screening_date
POOL-0208,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0209,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0210,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0211,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-0212,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0214,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0215,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0216,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0217,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0218,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0219,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0220,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0221,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0222,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0223,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0224,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0225,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0226,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0227,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0228,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0229,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0230,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0231,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
POOL-0232,include_full_text_candidate,Title/abstract contains a direct software code-review signal; verify eligibility in full text.,Codex-assisted preliminary screen,2026-08-06
